CustomerKey,RentalKey,FilmKey,DateKey,Category,Rating,Amount,StoreID,DayOfWeek,WeekOfYear,Month
469,59,463,1227,Sports,PG,2.99,1,4,24,6
365,491,463,1720,Sports,PG,2.99,2,5,24,6
590,1037,463,2349,Sports,PG,2.99,1,7,24,6
236,3142,463,4589,Sports,PG,2.99,1,6,27,7
56,3221,463,4668,Sports,PG,4.99,1,6,27,7
420,3883,463,5330,Sports,PG,5.99,2,7,27,7
445,4835,463,6282,Sports,PG,2.99,1,2,28,7
19,6671,463,8118,Sports,PG,2.99,1,5,30,7
194,7628,463,9075,Sports,PG,2.99,2,7,30,7
70,8160,463,9607,Sports,PG,2.99,2,1,30,7
272,8691,463,10138,Sports,PG,7.99,1,1,30,7
419,9085,463,10532,Sports,PG,5.99,1,2,31,8
139,11422,463,12869,Sports,PG,2.99,1,6,33,8
71,11500,463,12947,Sports,PG,3.99,2,6,33,8
183,11834,463,13281,Sports,PG,2.99,1,6,33,8
164,12092,463,13539,Sports,PG,7.99,2,7,33,8
337,14395,463,15842,Sports,PG,2.99,1,3,34,8
576,1303,471,2648,Classics,NC-17,3.99,2,1,24,6
95,1451,471,2813,Classics,NC-17,2.99,1,1,24,6
435,1627,471,3011,Classics,NC-17,2.99,1,2,25,6
32,1712,471,3114,Classics,NC-17,2.99,2,2,25,6
123,2324,471,3775,Classics,NC-17,2.99,2,4,27,7
110,3577,471,5024,Classics,NC-17,2.99,1,7,27,7
426,3913,471,5360,Classics,NC-17,2.99,1,7,27,7
113,5100,471,6547,Classics,NC-17,2.99,2,3,28,7
76,5401,471,6848,Classics,NC-17,2.99,2,3,28,7
135,6065,471,7512,Classics,NC-17,2.99,1,4,30,7
119,6863,471,8310,Classics,NC-17,3.99,2,6,30,7
276,7295,471,8742,Classics,NC-17,2.99,1,6,30,7
238,7297,471,8744,Classics,NC-17,2.99,2,6,30,7
588,7318,471,8765,Classics,NC-17,2.99,1,6,30,7
479,8564,471,10011,Classics,NC-17,4.99,2,1,30,7
532,9799,471,11246,Classics,NC-17,2.99,2,3,31,8
474,12532,471,13979,Classics,NC-17,4.99,2,7,33,8
1,12726,471,14173,Classics,NC-17,2.99,1,1,33,8
231,12888,471,14335,Classics,NC-17,2.99,2,1,33,8
3,13693,471,15140,Classics,NC-17,4.99,1,2,34,8
562,13760,471,15207,Classics,NC-17,2.99,2,2,34,8
277,14265,471,15712,Classics,NC-17,2.99,1,3,34,8
417,14274,471,15721,Classics,NC-17,2.99,2,3,34,8
410,56,496,1224,Travel,PG-13,5.99,2,4,24,6
130,501,496,1730,Travel,PG-13,0.99,1,5,24,6
75,1170,496,2495,Travel,PG-13,1.99,2,7,24,6
166,2330,496,3781,Travel,PG-13,5.99,1,4,27,7
251,2497,496,3948,Travel,PG-13,3.99,1,4,27,7
29,3254,496,4701,Travel,PG-13,0.99,2,6,27,7
351,4336,496,5783,Travel,PG-13,1.99,2,1,27,7
65,6025,496,7472,Travel,PG-13,1.99,1,4,30,7
268,6739,496,8186,Travel,PG-13,4.99,2,5,30,7
224,6911,496,8358,Travel,PG-13,3.99,1,6,30,7
39,7473,496,8920,Travel,PG-13,3.99,2,7,30,7
303,8877,496,10324,Travel,PG-13,0.99,2,2,31,8
